dataset_key,title,countryCode,doi,license,type,sub_type,hosting_organization_key,hosting_organization_title,hosting_country,publishing_organization_key,publishing_organization_title,publishing_country,endorsing_node_key,network_keys,project_identifier,occurrence_records_count,name_usages_count
3840e95d-a55d-4372-a924-b1ff34b856d0,Global Register of Introduced and Invasive Species - Estonia,EE,10.15468/53s95n,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1502
f82a4f7f-6f84-4b58-82e6-6b41ec9a1f49,Global Register of Introduced and Invasive Species- Croatia,HR,10.15468/rhmen3,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1440
6b45e498-23e8-4e39-8620-77011495e42c,Global Register of Introduced and Invasive Species - Israel,IL,10.15468/25svcl,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1435
c7873d63-4c63-419f-8d84-a7a6cb29c5e8,Global Register of Introduced and Invasive Species - Spain,ES,10.15468/ylk7wp,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1429
6d11211b-caa0-4e63-b99c-e944099d5017,Global Register of Introduced and Invasive Species - China,CN,10.15468/wstyjh,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1420
628b9441-36ba-41bc-a260-be5c655bd04b,Global Register of Introduced and Invasive Species - Slovenia,SI,10.15468/awqzyu,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1358
d006d8bb-cf1e-46ff-a054-c6768e23d86d,Global Register of Introduced and Invasive Species - Ukraine,UA,10.15468/4nyn7n,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1343
45760a8e-818e-4fe9-9537-c069500b09ea,"Global Register of Introduced and Invasive Species - Gran Canaria, Islas Canarias, Spain",ES-CN_GC,10.15468/ztcdqp,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1337
83ca3188-af12-4545-aaf4-304df32ff9d7,Global Register of Introduced and Invasive Species - Seychelles,SC,10.15468/9e9pfi,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1304
c7056977-c11e-45d7-a348-11ff192a3cae,Global Register of Introduced and Invasive Species - Latvia,LV,10.15468/hb3hza,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1284
1353de13-65e6-4e97-ab77-8b1830498152,Global Register of Introduced and Invasive Species - Slovakia,SK,10.15468/9aomvv,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1273
eedb7ade-5c51-4787-9635-949b704e1194,Global Register of Introduced and Invasive Species - Argentina,AR,10.15468/qr5pjs,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1245
baf86ad8-24ad-4603-a723-dcc9647846da,Global Register of Introduced and Invasive Species - Madagascar,MG,10.15468/ayekfx,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1229
c328523e-1e63-4384-b52a-4773639a475b,Global Register of Introduced and Invasive Species - Chile,CL,10.15468/n4ofia,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1227
d015d9e7-9eed-47c6-a0cd-62c627ad1e8b,Global Register of Introduced and Invasive Species - Bulgaria,BG,10.15468/afan6i,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1222
137a287c-911c-40b5-8051-6dc86b110bcc,Global Register of Introduced and Invasive Species - Greece,GR,10.15468/td6afd,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1197
f8c3eca8-349d-4e4c-9374-af8177cc1901,"Global Register of Introduced and Invasive Species - La Palma, Islas Canarias, Spain",ES-CN_LP,10.15468/eidass,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1148
2f7ea7d1-a73f-46f6-b790-7339126a999f,Global Register of Introduced and Invasive Species - Cyprus,CY,10.15468/uryl57,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1109
1df9467e-0c60-4e5a-a7b0-2b60bd6648ed,GRIIS Checklist of Introduced and Invasive Species - Ecuador,EC,10.15468/ngh7rj,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1083
c42ad93c-88a8-440f-8842-118f2a1927a8,Global Register of Introduced and Invasive Species - Cuba,CU,10.15468/jzyeh0,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1041
7b6661a3-5bbd-4dbb-b3e4-0c26df341977,Global Register of Introduced and Invasive Species - Singapore,SG,10.15468/iqgcwo,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,1010
